"Data
wyliczenia","Stawka","Wartość
obrotów
(w mln PLN)","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15"
2005-05-19,0.0539,3638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-05-20,0.0532,1392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-05-23,0.0535,1653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-05-24,0.0526,3170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-05-25,0.0497,3930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-05-27,0.0549,3032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-05-30,0.0519,3150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-05-31,0.0541,2305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06-01,0.0494,1813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06-02,0.0508,2923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06-03,0.0543,3206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06-06,0.0553,3151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06-07,0.0543,2387.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06-08,0.0535,3174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06-09,0.0526,2592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06-10,0.0548,1522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06-13,0.0516,2993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06-14,0.0518,3279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06-15,0.0523,1710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06-16,0.0544,1605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06-17,0.0523,1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06-20,0.0508,1251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06-21,0.0506,2840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06-22,0.051,2365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06-23,0.0514,2933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06-24,0.048,3680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06-27,0.0428,2498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06-28,0.0407,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06-29,0.0411,2980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06-30,0.0496,1530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-01,0.0494,1420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-04,0.0503,1220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-05,0.0496,1151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-06,0.0482,1640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-07,0.0491,2399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-08,0.0504,2127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-11,0.0501,2515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-12,0.0508,2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-13,0.0511,1089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-14,0.0516,1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-15,0.0492,1735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-18,0.0502,1228.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-19,0.0505,2370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-20,0.0504,3080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-21,0.0503,1245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-22,0.0492,2150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-25,0.0501,2410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-26,0.0475,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-27,0.0432,2568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-28,0.0442,2780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-29,0.0521,2852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-01,0.0465,2904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-02,0.0467,1134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-03,0.0468,2106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-04,0.047,2822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-05,0.0477,1710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-08,0.0474,2325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-09,0.0466,1845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-10,0.0467,2653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-11,0.0475,1618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-12,0.0479,2268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-16,0.0503,3670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-17,0.0507,1680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-18,0.049,3250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
